kode,provinsi,tahun,kurang_40,41-50,51-60,61-70,lebih_70,meninggal
4,KEPULAUAN RIAU,2022,0,0,0,0,0,0
5,SUMATERA BARAT,2022,0,100,0,0,0,0
6,SUMATERA SELATAN,2022,0,100,0,0,0,0
7,JAMBI,2022,0,60,40,0,0,0
8,LAMPUNG,2022,0,0,0,0,0,0
9,BENGKULU,2022,0,0,100,0,0,0
10,BANGKA BELITUNG,2022,0,0,0,0,0,0
11,BANTEN,2022,0,66.66666667,33.33333333,0,0,0
12,DKI,2022,11.9047619,47.61904762,28.57142857,7.142857143,4.761904762,0
13,JAWA BARAT,2022,12.5,54.16666667,25,0,8.333333333,0
14,JAWA TENGAH,2022,16.66666667,8.333333333,50,16.66666667,8.333333333,0
15,DIY,2022,0,0,0,0,0,0
16,JAWA TIMUR,2022,10.22502791,0.373615048,36.54985828,19.20467234,5.922013227,0.270548828
17,BALI,2022,7.01754386,61.11111111,22.80701754,14.32748538,30.40935673,0
18,NUSA TENGGARA BARAT,2022,0,0,33.33333333,66.66666667,0,0
19,NUSA TENGGARA TIMUR,2022,15.14476615,0,23.83073497,19.15367483,18.59688196,0.334075724
20,KALIMANTAN SELATAN,2022,0,0,0,0,0,0
21,KLIMANTAN TENGAH,2022,0,0,0,0,0,0
22,KALIMANTAN BARAT,2022,0,0,0,0,0,0
23,KALIMANTAN TIMUR,2022,33.33333333,66.66666667,0,0,0,0
24,KALIMANTAN UTARA',2022,0,0,0,0,0,0
25,SELAWESI SELATAN,2022,16.27037723,31.89056758,30.24468386,15.41288438,6.181486949,0.144485975
26,SULAWESI TENGAH,2022,14.28571429,21.42857143,50,7.142857143,7.142857143,0
27,SULAWESI BARAT,2022,18.24014665,32.53895509,27.77268561,13.96272533,7.485487321,0.152765047
28,SULAWESI UTARA,2022,18.18181818,27.27272727,18.18181818,18.18181818,18.18181818,0
29,SULAWESI TENGGARA,2022,15.94169632,29.17479628,30.71272811,17.36485711,6.805922185,0.137725238
30,MALUKU,2022,11.11605158,21.0982659,28.36816363,22.94353046,16.47398844,0.333481547
31,MALUKU UTARA,2022,9.715932483,18.85549609,28.7772746,26.57472211,16.07657472,0.411692054
32,GORONTALO,2022,8.973471742,27.52018454,34.57900807,22.23760092,6.689734717,0.207612457
33,PAPUA,2022,22.28606608,32.54668582,25.52842192,12.27170121,7.367124974,0.082084958
34,PAPUA BARAT,2022,20.90412621,29.1565534,26.85072816,15.16990291,7.91868932,0.091019417
